name,description,type,value
10.10.104.0_24,,Network,10.10.104.0/24
10.181.201.70,,Network,10.181.201.70/31
10.206.92.0_24,,Network,10.206.92.0/24
10.181.0.0,,Network,10.181.0.0/16
211.197.43.0_24,,Network,211.197.43.0/24
58.87.61.0_24,,Network,58.87.61.0/24
10.181.100.0_24,,Network,10.181.100.0/24
10.181.101.0_24,,Network,10.181.101.0/24
10.181.102.0_24,,Network,10.181.102.0/24
10.181.103.0_24,,Network,10.181.103.0/24
10.181.104.0_24,,Network,10.181.104.0/24
10.181.105.0_24,,Network,10.181.105.0/24
10.181.106.0_24,,Network,10.181.106.0/24
10.181.107.0_24,,Network,10.181.107.0/24
10.181.108.0_24,,Network,10.181.108.0/24
10.181.109.0_24,,Network,10.181.109.0/24
10.181.110.0_24,,Network,10.181.110.0/24
10.181.111.0_24,,Network,10.181.111.0/24
10.181.112.0_24,,Network,10.181.112.0/24
10.181.114.0_24,,Network,10.181.114.0/24
10.181.99.0_24,,Network,10.181.99.0/24
