name,description,type,value
10.181.109.21-10.181.109.25,,Range,10.181.109.21-10.181.109.25
10.181.100.0-10.181.100.255,,Range,10.181.100.0-10.181.100.255
10.181.101.0-10.181.101.255,,Range,10.181.101.0-10.181.101.255
10.181.102.0-10.181.102.255,,Range,10.181.102.0-10.181.102.255
10.181.103.0-10.181.103.255,,Range,10.181.103.0-10.181.103.255
10.181.104.0-10.181.104.255,,Range,10.181.104.0-10.181.104.255
10.181.105.0-10.181.105.255,,Range,10.181.105.0-10.181.105.255
10.181.106.0-10.181.106.255,,Range,10.181.106.0-10.181.106.255
10.181.107.0-10.181.107.255,,Range,10.181.107.0-10.181.107.255
10.181.108.0-10.181.108.255,,Range,10.181.108.0-10.181.108.255
10.181.109.0-10.181.109.255,,Range,10.181.109.0-10.181.109.255
10.181.110.0-10.181.110.255,,Range,10.181.110.0-10.181.110.255
10.181.111.0-10.181.111.255,,Range,10.181.111.0-10.181.111.255
10.181.112.0-10.181.112.255,,Range,10.181.112.0-10.181.112.255
10.181.114.0-10.181.114.255,,Range,10.181.114.0-10.181.114.255
10.181.99.0-10.181.99.255,,Range,10.181.99.0-10.181.99.255
10.181.113.151-10.181.113.200,,Range,10.181.113.151-10.181.113.200
10.181.99.0-10.181.113.0,,Range,10.181.99.0-10.181.113.0
